Route,Run,Sequence,Bus_Stop_Code
1,1,1,53369
1,1,2,54468
1,1,3,54321
1,1,4,75466
1,1,5,55244
1,1,6,71368
1,1,7,75793
1,1,8,55837
1,1,9,51551
1,1,10,56108
1,1,11,77998
1,1,12,74809
1,1,13,77752
1,1,14,77495
1,1,15,73143
1,1,16,75041
1,1,17,54690
1,1,18,48408
1,1,19,51637
1,1,20,76211
1,1,21,57850
1,1,22,49013
1,1,23,51063
1,1,24,52115
1,1,25,52998
1,1,26,73728
1,1,27,51433
1,1,28,58011
1,1,29,58185
1,2,1,48366
1,2,2,73142
1,2,3,53864
1,2,4,52763
1,2,5,73163
1,2,6,54005
1,2,7,50548
1,2,8,47019
1,2,9,73710
1,2,10,59309
1,2,11,53681
1,2,12,58000
1,2,13,74537
1,2,14,71774
1,2,15,72318
1,2,16,48216
1,2,17,49564
1,2,18,72877
1,2,19,74792
1,2,20,51165
1,2,21,50694
1,2,22,72073
1,2,23,71234
1,2,24,71098
1,2,25,51800
1,2,26,77665
1,2,27,58945
1,2,28,47657
10,1,1,47394
10,1,2,48196
10,1,3,50912
10,1,4,76043
10,1,5,74217
10,1,6,55663
10,1,7,71025
10,1,8,53802
10,1,9,74209
10,1,10,52114
10,1,11,56798
10,1,12,48388
10,1,13,74330
10,1,14,73627
10,1,15,74344
10,1,16,49282
10,1,17,52248
10,1,18,72273
10,1,19,53919
10,1,20,54323
10,1,21,54792
10,1,22,73952
10,1,23,50908
10,1,24,72798
10,1,25,51889
10,1,26,75249
10,1,27,77103
10,1,28,71293
10,1,29,54958
10,1,30,53811
10,1,31,59287
10,1,32,73933
10,1,33,53509
10,1,34,58420
10,1,35,57130
10,2,1,52861
10,2,2,72026
10,2,3,76007
10,2,4,72626
10,2,5,51702
10,2,6,51664
10,2,7,50975
10,2,8,57596
10,2,9,73135
10,2,10,77942
10,2,11,50347
10,2,12,47551
10,2,13,55563
10,2,14,71925
10,2,15,54427
10,2,16,74257
10,2,17,54034
10,2,18,53906
10,2,19,77410
10,2,20,71053
10,2,21,49574
10,2,22,71714
10,2,23,73840
10,2,24,50728
10,2,25,54572
10,2,26,58476
10,2,27,56541
10,2,28,74431
10,2,29,56875
10,2,30,54537
10,2,31,75228
10,2,32,50258
10,2,33,56922
10,2,34,50403
10,2,35,75843
10,2,36,73047
10,2,37,50690
10,2,38,73304
100,1,1,58283
100,1,2,49429
100,1,3,74155
100,1,4,74720
100,1,5,77293
100,1,6,47080
100,1,7,77271
100,1,8,72986
100,1,9,56735
100,1,10,53477
100,1,11,53973
100,1,12,76584
100,1,13,48024
100,1,14,73989
100,1,15,91267
100,1,16,56219
100,1,17,53334
100,1,18,55223
100,1,19,47908
100,1,20,51466
100,1,21,73005
100,1,22,71599
100,1,23,74080
100,1,24,48668
100,1,25,59155
100,1,26,75036
100,1,27,55308
100,1,28,54603
100,1,29,57222
100,1,30,75290
100,1,31,53647
100,1,32,51506
100,1,33,59555
100,1,34,47255
100,1,35,75897
100,1,36,74305
100,2,1,57876
100,2,2,73119
100,2,3,51094
100,2,4,48914
100,2,5,73546
100,2,6,52302
100,2,7,57527
100,2,8,53797
100,2,9,55930
100,2,10,75859
100,2,11,52839
100,2,12,53758
100,2,13,49978
100,2,14,54542
100,2,15,49032
100,2,16,58621
100,2,17,54154
100,2,18,56997
100,2,19,55771
100,2,20,52872
100,2,21,72430
100,2,22,52729
100,2,23,47995
100,2,24,73195
100,2,25,49762
100,2,26,51004
100,2,27,53559
100,2,28,91311
100,2,29,54134
100,2,30,71853
100,2,31,73585
100,2,32,72426
100,2,33,49684
100,2,34,72096
101,1,1,73929
101,1,2,49808
101,1,3,73360
101,1,4,55793
101,1,5,57169
101,1,6,56214
101,1,7,72142
101,1,8,76359
101,1,9,71726
101,1,10,52901
101,1,11,72411
101,1,12,74468
101,1,13,74429
101,1,14,51413
101,1,15,73565
101,1,16,77821
101,1,17,57041
101,1,18,47412
101,1,19,71827
101,1,20,52269
101,1,21,73928
101,1,22,73643
101,1,23,71734
101,1,24,74458
101,1,25,76711
101,1,26,48061
101,1,27,53172
101,1,28,74470
101,1,29,72599
101,1,30,75445
101,1,31,49458
101,1,32,57032
101,1,33,55840
101,1,34,56121
101,1,35,77592
101,1,36,72884
101,1,37,72177
101,1,38,77217
101,1,39,71031
101,1,40,48757
101,1,41,52837
101,1,42,51205
101,1,43,50173
101,2,1,54010
101,2,2,74461
101,2,3,52852
101,2,4,73048
101,2,5,77774
101,2,6,74984
101,2,7,54302
101,2,8,76350
101,2,9,53185
101,2,10,56389
101,2,11,49519
101,2,12,57697
101,2,13,54378
101,2,14,49049
101,2,15,51116
101,2,16,73886
101,2,17,54003
101,2,18,55226
101,2,19,57932
101,2,20,72176
101,2,21,57811
101,2,22,71086
101,2,23,59001
101,2,24,47317
101,2,25,58089
101,2,26,55796
101,2,27,52002
101,2,28,54015
101,2,29,58756
101,2,30,47863
101,2,31,51462
101,2,32,48394
101,2,33,75374
101,2,34,74555
101,2,35,56846
101,2,36,48002
101,2,37,71229
101,2,38,52519
101,2,39,53119
101,2,40,48942
101,2,41,48906
102,1,1,52401
102,1,2,75611
102,1,3,77558
102,1,4,75238
102,1,5,48713
102,1,6,73365
102,1,7,56475
102,1,8,54439
102,1,9,47006
102,1,10,53310
102,1,11,51522
102,1,12,77841
102,1,13,77817
102,1,14,53146
102,1,15,56036
102,1,16,91556
102,1,17,54208
102,1,18,72630
102,1,19,76027
102,1,20,74696
102,1,21,71160
102,1,22,55321
102,1,23,54529
102,1,24,71605
102,1,25,72149
102,1,26,55178
102,1,27,48162
102,1,28,48574
102,1,29,50887
102,1,30,76916
102,1,31,74640
102,1,32,73583
102,1,33,50012
102,1,34,59598
102,1,35,52399
102,1,36,73350
102,1,37,72342
102,1,38,77350
102,1,39,77770
102,1,40,53891
102,1,41,76530
102,1,42,58923
102,1,43,54836
102,1,44,48080
102,1,45,72352
102,1,46,50179
102,1,47,73552
102,1,48,52758
102,1,49,72386
102,1,50,75753
102,1,51,75524
102,1,52,73060
102,1,53,48736
102,1,54,50170
102,1,55,50038
102,1,56,75605
102,1,57,55976
102,1,58,75863
102,1,59,77389
102,1,60,71189
102,2,1,54511
102,2,2,56615
102,2,3,53150
102,2,4,75326
102,2,5,74799
102,2,6,55512
102,2,7,51734
102,2,8,55862
102,2,9,49392
102,2,10,75204
102,2,11,58741
102,2,12,75674
102,2,13,59564
102,2,14,50304
102,2,15,49689
102,2,16,51633
102,2,17,71379
102,2,18,47152
102,2,19,52636
102,2,20,47013
102,2,21,71509
102,2,22,73522
102,2,23,71127
102,2,24,71496
102,2,25,77352
102,2,26,58021
102,2,27,50097
102,2,28,73493
102,2,29,77484
102,2,30,48541
102,2,31,73373
102,2,32,75920
102,2,33,71060
102,2,34,55198
102,2,35,76900
102,2,36,54940
102,2,37,49932
102,2,38,72308
102,2,39,57381
102,2,40,77005
102,2,41,48132
102,2,42,77373
102,2,43,72601
102,2,44,58035
102,2,45,49378
102,2,46,47500
102,2,47,56198
102,2,48,56109
102,2,49,74586
102,2,50,57939
102,2,51,76102
102,2,52,51213
102,2,53,53617
102,2,54,52795
102,2,55,50697
102,2,56,73903
102,2,57,73951
102,2,58,50163
102,2,59,54865
102,2,60,73403
103,1,1,55729
103,1,2,57520
103,1,3,52103
103,1,4,50115
103,1,5,76219
103,1,6,53778
103,1,7,75572
103,1,8,53165
103,1,9,75300
103,1,10,72888
103,1,11,59172
103,1,12,56758
103,1,13,48610
103,1,14,53088
103,1,15,47874
103,1,16,76504
103,1,17,48861
103,1,18,55176
103,1,19,48393
103,1,20,51535
103,1,21,76897
103,1,22,51795
103,1,23,54592
103,1,24,52001
103,1,25,49103
103,1,26,54741
103,1,27,57168
103,1,28,49303
103,1,29,76946
103,1,30,56528
103,1,31,53867
103,1,32,55349
103,1,33,76227
103,1,34,48456
103,1,35,54213
103,1,36,52287
103,1,37,49638
103,1,38,71083
103,1,39,51950
103,1,40,59058
103,1,41,74456
103,1,42,74262
103,1,43,73009
103,2,1,91303
103,2,2,57544
103,2,3,50789
103,2,4,76411
103,2,5,48490
103,2,6,75342
103,2,7,54719
103,2,8,58066
103,2,9,72526
103,2,10,50211
103,2,11,73170
103,2,12,47704
103,2,13,52565
103,2,14,55304
103,2,15,76842
103,2,16,59178
103,2,17,54633
103,2,18,59039
103,2,19,55605
103,2,20,54568
103,2,21,77461
103,2,22,77244
103,2,23,73972
103,2,24,74629
103,2,25,59056
103,2,26,47877
103,2,27,53562
103,2,28,76837
103,2,29,48280
103,2,30,75612
103,2,31,49147
103,2,32,75285
103,2,33,55211
103,2,34,47861
103,2,35,76471
103,2,36,54071
103,2,37,59426
103,2,38,72612
103,2,39,49060
103,2,40,77053
103,2,41,50778
103,2,42,53931
103,2,43,76662
103,2,44,55729
103,4,1,50562
104,1,1,58592
104,1,2,74006
104,1,3,74320
104,1,4,71741
104,1,5,72915
104,1,6,51259
104,1,7,91562
104,1,8,77363
104,1,9,73819
104,1,10,75617
104,1,11,59425
104,1,12,55617
104,1,13,73494
104,1,14,76728
104,1,15,56927
104,1,16,72811
104,1,17,47619
104,1,18,55583
104,1,19,50851
104,1,20,54378
104,1,21,49049
104,1,22,51116
104,1,23,73886
104,1,24,54003
104,1,25,55226
104,1,26,57932
104,1,27,72176
104,1,28,57811
104,1,29,71086
104,1,30,59001
104,1,31,47317
104,1,32,58089
104,1,33,55796
104,1,34,52002
104,1,35,54015
104,1,36,57991
104,2,1,57991
104,2,2,51413
104,2,3,73565
104,2,4,77821
104,2,5,57041
104,2,6,47412
104,2,7,71827
104,2,8,52269
104,2,9,73928
104,2,10,73643
104,2,11,71734
104,2,12,74458
