Route,Direction,Direction_Destination
1,1,CANADA WATER BUS STATION
1,2,TOTTENHAM COURT ROAD 
2,1,NORWOOD BUS GARAGE
2,2,MARYLEBONE STATION
3,1,CRYSTAL PALACE
3,2,MARGARET STREET / OXFORD CIRCUS
4,1,WATERLOO STATION / WATERLOO ROAD  
4,2,ARCHWAY STATION  / MACDONALD ROAD
5,1,CANNING TOWN STATION  [DLR]
5,2,ROMFORD MARKET
6,1,ALDWYCH / DRURY LANE
6,2,POUND LANE / WILLESDEN BUS GARAGE
7,1,RUSSELL SQUARE STATION 
7,2,TELFORD WAY
8,1,HOLLES STREET
8,2,BOW BUS GARAGE
9,1,HAMMERSMITH BUS STATION
9,2,ALDWYCH / DRURY LANE
10,1,KING'S CROSS STN   / YORK WAY
10,2,HAMMERSMITH BUS STATION
11,1,LIVERPOOL STREET STATION
11,2,FULHAM TOWN HALL
12,1,DULWICH LIBRARY
12,2,MARGARET STREET / OXFORD CIRCUS
13,1,ALDWYCH / DRURY LANE
13,2,GOLDERS GREEN STATION 
14,1,WARREN STREET STATION 
14,2,PUTNEY HEATH / GREEN MAN
15,1,CONDUIT STREET
15,2,BLACKWALL STATION [DLR]
16,1,VICTORIA BUS STATION  
16,2,LONGLEY WAY
17,1,LONDON BRIDGE
17,2,ARCHWAY STATION  / MACDONALD ROAD
18,1,EUSTON STATION  
18,2,SUDBURY AND HARROW ROAD STATION
19,1,PARKGATE ROAD
19,2,FINSBURY PARK INTERCHANGE  
20,1,BURTON ROAD
20,2,WALTHAMSTOW BUS STATION
21,1,NEWINGTON GREEN
21,2,MOLESWORTH STREET
22,1,PICCADILLY CIRCUS
22,2,PUTNEY COMMON / SPENCER ARMS
23,1,LIVERPOOL STREET STATION
23,2,GREAT WESTERN ROAD
24,1,ROYAL FREE HOSPITAL
24,2,GROSVENOR ROAD
25,1,HAINAULT STREET
25,2,HOLLES STREET
26,1,WATERLOO STATION / WATERLOO ROAD  
26,2,HACKNEY WICK / TROWBRIDGE ROAD
27,1,CHALK FARM MORRISONS
27,2,CHISWICK BUSINESS PARK
28,1,MAPLETON CRESCENT
28,2,KENSAL RISE STATION 
29,1,TRAFALGAR SQUARE / CHARING CROSS STN 
29,2,WOOD GREEN STATION 
30,1,ST MARY OF ETON CHURCH
30,2,MARBLE ARCH STATION 
31,1,WHITE CITY BUS STATION 
31,2,CAMDEN TOWN STATION 
32,1,KILBURN PARK STATION 
32,2,EDGWARE STATION 
33,1,HAMMERSMITH BUS STATION
33,2,FULWELL STATION 
34,1,WALTHAMSTOW BUS STATION
34,2,FITZJOHN AVENUE
35,1,SHOREDITCH TOWN HALL
35,2,CLAPHAM JUNCTION STATION / FALCON ROAD 
36,1,NEW CROSS BUS GARAGE
36,2,QUEENS PARK STATION  
37,1,PECKHAM BUS STATION
37,2,PUTNEY HEATH / GREEN MAN
38,1,VICTORIA BUS STATION  
38,2,LEA BRIDGE ROUNDABOUT
39,1,CLAPHAM JUNCTION STATION / FALCON ROAD 
39,2,PUTNEY BRIDGE STATION 
40,1,ALDGATE BUS STATION
40,2,DULWICH LIBRARY
41,1,TOTTENHAM HALE BUS STATION
41,2,ARCHWAY STATION  / MACDONALD ROAD
42,1,APPOLD STREET
42,2,SUNRAY AVENUE
43,1,LONDON BRIDGE STATION  
43,2,HALLIWICK PARK
44,1,TOOTING STATION 
44,2,VICTORIA STN   / GROSVENOR GARDENS
45,1,ATKINS ROAD / NEW PARK ROAD
45,2,KING'S CROSS STN   / YORK WAY
46,1,STONECUTTER STREET
46,2,WESTBOURNE STREET
47,1,SHOREDITCH
47,2,CATFORD GARAGE
48,1,LONDON BRIDGE STATION 
48,2,WALTHAMSTOW BUS STATION
49,1,WHITE CITY BUS STATION 
49,2,BOLINGBROKE GROVE
