Bus_Stop_Code,Stop_Name
47001,EAST STREET
47002,ST PAUL'S WAY TRUST SCHOOL
47004,KINGS AVENUE
47005,SHIRLAND ROAD / FERNHEAD ROAD
47006,MILLFIELD THEATRE & ARTS CENTRE
47007,REDHILL BUS STATION
47008,CUDHAM HILL
47009,CANONS PARK OPEN SPACE
47010,MONSON ROAD
47011,ORWELL CLOSE
47012,WIMBLEDON FIRE STATION
47013,BROOKLAND RISE
47014,HAMMERSMITH BRIDGE ROAD
47015,CLEMENT GARDENS
47016,CLAPHAM SOUTH STATION <>
47017,CHURCHFIELD SCHOOL
47018,EAST DULWICH STATION #
47019,LYNTON ROAD
47020,BEVERLEY ROAD
47021,ALCOCK ROAD
47022,ARBROOK LANE / SWAN INN
47023,WOODBERRY AVENUE
47024,VALENTINE AVENUE
47026,CRANWELL CLOSE
47027,GARTH ROAD / STONECOT HILL
47028,WATERLOO STATION <> # / YORK ROAD
47029,PENTLAND ROAD
47030,NEW KINGS ROAD
47031,CEDAR CLOSE
47032,OLIVER ROAD
47033,LAMBETH PALACE
47034,ST JAMES'S STREET STATION #
47035,PLAISTOW BROADWAY
47036,RECTORY LANE / DEBDEN STATION <>
47037,JUBILEE PRIMARY SCHOOL
47038,WINDMILL GROVE
47039,PETERSFIELD AVENUE
47040,VICTORIA ROAD
47041,PEVENSEY ROAD
47042,THE RIDGEWAY
47043,HOG HILL ROAD
47044,CLIFTON AVENUE
47045,EXNING ROAD
47046,MAPLETON ROAD
47047,CHELSEA OLD TOWN HALL
47048,CALEDONIAN ROAD / KILLICK STREET
47049,NEW CROSS BUS GARAGE
47050,BLACKSMITHS LANE
47051,BROWNING ROAD
47052,OSTERLEY LIBRARY
47053,SIDMOUTH ROAD
47054,MEADWAY
47055,EYNSFORD CRESCENT
47056,ROYAL FREE HOSPITAL
47057,WEST HATCH SCHOOL
47058,GREEN LANE
47059,DURANTS ROAD
47060,NEW ROAD
47061,BROADCROFT AVENUE
47063,WILLIAM PATTEN SCHOOL
47064,LONGFORD CLOSE
47065,OLD MILL ROAD / PLUMSTEAD COMMON ROAD
47066,TYRAWLEY ROAD
47067,WEST LODGE
47069,BROOK LANE
47070,SCOTTS LANE
47071,BOUVERIE LODGE
47072,WOODBINE LANE
47073,WHITMORE ROAD
47074,SOUTH NORWOOD HILL / ALL SAINTS CHURCH
47075,FELTHAM STATION #
47076,MUSWELL HILL BROADWAY
47077,GOLDHAWK ROAD STATION <>
47079,MILLMARK GROVE
47080,STAMFORD STREET
47081,EAST ACTON LANE / OLD OAK ROAD
47082,ROYAL AIR FORCE MUSEUM
47083,LATYMER UPPER SCHOOL / PLAYING FIELDS
47084,CAMBRIDGE GARDENS
47085,QUAINTON STREET
47086,ALL SAINTS MEWS
47087,CRANMER TERRACE
47088,PRINCE ALBERT ROAD
47089,BEACONSFIELD ROAD
47091,LEAVES GREEN / ASHMORE LANE
47092,LINDISFARNE ROAD
47093,LITTLE HEATH
47094,TURNPIKE LANE BUS STATION
47095,HAMPSTEAD HEATH
47096,ELEPHANT & CASTLE / NEW KENT ROAD
47097,HARROW PARK
47098,HARLESDEN ROAD
47099,WOOLACOMBE ROAD
47100,LAMPTON AVENUE
47101,HAVELOCK ROAD
47102,BELLAMY DRIVE
47103,PIMLICO ACADEMY & LIBRARY
47104,GALLEY LANE
47105,HARTFORD ROAD
47106,EDWIN ROAD
47107,ELMHURST SCHOOL
47108,THAMES VIEW / CHRIST CHURCH
47109,BURNTWOOD AVENUE
47110,ELM LANE
47111,SCOTCH COMMON
47112,ALEXANDRA AVENUE
47113,MARKFIELD
47114,MOUNTFIELD ROAD
47115,AGAR GROVE / MAIDEN LANE
47116,THE PICKHURST
47117,QUEENSBERRY PLACE
47118,EUSTON BUS STATION <>#
47119,HARMONDSWORTH LANE
47120,PRINCESS MAY ROAD
47121,OLD BROMLEY ROAD
47122,ROWLEY GARDENS
47123,BRUNEL ESTATE
47124,LEAFY GROVE
47125,FALKIRK STREET
47126,HALL AVENUE
47127,FALKLAND ROAD
47128,MILVERTON ROAD
47129,BELMONT STATION #
47130,BENHILL AVENUE / THROWLEY WAY
47131,HAGGERSTON PARK
47132,MINARD ROAD
47133,SHADWELL BASIN
47134,STOKE NEWINGTON STATION #
47135,WATTS GROVE
47136,RIVERSIDE YOUTH CLUB
47137,DOLLIS VALLEY  WAY
47138,EMMOTT AVENUE
47139,ROWLAND HILL AVENUE
47140,EDEN STREET
47141,PRINCE OF WALES ROAD / QUEEN'S CRESCENT
47142,CHARLTON ROAD / VICTORIA WAY
47143,PARK AVENUE
47144,MARDYKE ESTATE / LOWEN ROAD
47145,NEWFIELD RISE
47146,HORNSEY FIRE STATION
47147,ELTHAM HIGH STREET / CHEQUERS PARADE
47148,TREATY CENTRE
47149,POULTRY / BANK STATION <> [DLR]
47150,SCOTSWOOD WALK
47152,HENLYS CORNER
47154,APEX CORNER / HAMPTON ROAD WEST
47155,ASHFORD ROAD
47156,HAZELHURST ESTATE
47157,WADDINGTON AVENUE / HOMEFIELD ROAD
47158,BRUNEL UNIVERSITY
47159,CLAYTON ROAD
47160,WIGSTON CLOSE
47161,HERVEY ROAD
47162,WILMOT STREET
47163,TUFNELL PARK STATION <>
47165,ST PAUL'S CHURCH
47166,KELMSCOTT GARDENS
47167,WATER MILL WAY
47168,SUNNYDENE AVENUE
47169,NEW ROAD
47170,SHOREDITCH HIGH ST / BETHNAL GREEN RD
47171,MILNER ROAD
47172,GROVE ROAD
47173,BOSTON MANOR STATION <>
47174,GREAT CAMBRIDGE ROAD
47175,THE PARADE / COTMAN GARDENS
47176,CALDECOT ROAD
47177,SPINNEY DRIVE
47178,GOLDWELL ROAD
47179,CAMBRIDGE ROUNDABOUT
47181,GRANGE ROAD / CALEDONIAN MARKET
47182,GRANGE ROAD
47183,THICKET ROAD
47184,SOUTHGATE COLLEGE
47185,FAWOOD AVENUE
47186,MORDEN ROAD / SOUTH WIMBLEDON STATION <>
47187,CLAPTON PARK
47188,LION ROAD
47189,LANGLEY AVENUE
47190,VILLA ROAD
47191,HIGH BEECHES
47192,WEST GREEN BAPTIST CHURCH
47193,HASLEMERE AVENUE
47194,PICCADILLY CIRCUS
47195,SHORT WAY
47196,WILLENHALL DRIVE
47197,POOLS ON THE PARK
47198,SOUTH EDEN PARK ROAD
47199,FORESTERS ARMS
47200,HAMMERSMITH LIBRARY
47201,BUSHEY ROAD / THE GREEN
47202,HEYSHAM ROAD
47203,RAYNERS LANE STATION <>
47204,SQUIRES WAY
47206,MOUNT ROAD
47207,HEATHER WAY
47208,STONE PARK AVENUE / CHINESE GARAGE
47209,CHALK FARM STATION <>
47210,ROE GREEN
47211,STANLEY ROAD
47212,GREEN LANE
47213,BELLEVUE ROAD
47214,GEDDES PLACE
47215,PURLEY HIGH STREET / PURLEY STATION #
47216,CLEVELAND AVENUE
47219,FINCHLEY GOLF CLUB
47220,ALBURY CLOSE
47221,LODGE DRIVE
47222,MONTROSE AVENUE
47223,BEECH STREET
47224,SANDERS LANE
47225,ALMINGTON STREET
47226,SYDNEY ROAD
47227,THURTLE ROAD
47228,NORTHALL ROAD / BARNEHURST STATION #
47229,BONNER STREET
47230,BROMLEY BY BOW <>
47231,PEMBRIDGE VILLAS
47232,BEVENDEN STREET
47233,ALPERTON STATION <>
47234,AVONDALE ROAD
47235,HIGHGATE STATION <>
47236,GLYNDEBOURNE PARK
47237,CHURCH LANE
47238,HIGH STREET / STATION ROAD
47239,LEA VALLEY ROAD
47241,WENDOVER WAY
47242,ARDLEY CLOSE
47243,THE NORTH STAR
47244,KINGSLAND ROAD / WATERSON STREET
47245,NEW BECKENHAM STATION #
47246,GRESHAM ROAD
47247,THE OAKS
47248,HARPS OAK LANE
47249,ARNOLD ROAD
47250,ISLAY GARDENS
47251,DAVIDSON ROAD
47252,CLAPHAM JUNCTION / THE NORTHCOTE
47253,NEWINGTON GREEN
47254,MICKLEHAM CHURCH
47255,KING DAVID LANE
47256,FRIARY ROAD
47257,MILESTONE ROAD
47259,BIDDULPH ROAD
47260,GUNNER DRIVE
47261,ELM ROAD / NEW MALDEN BAPTIST CHURCH
47262,OREGANO DRIVE
47263,MERROW WAY
47264,CROWLEY CRESCENT
47265,DULWICH COLLEGE
47266,LYNTON ROAD
47267,FRIDAY HILL
47268,CHARLTON STATION # / WOOLWICH ROAD
47269,BASIRE STREET
47270,DOWNS ROAD
47271,UXBRIDGE HIGH STREET
47272,STAPLEHURST ROAD
47273,BUNKERS HILL / THE WHITE CROSS
47274,WINDMILL HILL / ENFIELD WAR MEMORIAL
47275,CHRISP STREET MARKET
47276,CRAY ROAD / FOOTS CRAY HIGH STREET
47277,HAILEYBURY ROAD
47278,CLYSTON STREET
47281,CHERRY ORCHARD ROAD / EAST CROYDON STN #
47282,THE DRIVE / EASTERN AVENUE
47283,CRESSINGHAM ROAD
47284,SUDBURY COURT SPORTS CLUB
47285,WESTHORNE AVENUE
47286,RUXLEY LANE
47288,BUSHEY ARCHES
47289,HALBUTT STREET
47290,WEST STREET
47291,VAUXHALL BUS STATION
47292,DULWICH LIBRARY
47293,HEMINGFORD ROAD
47294,CHIPPENHAM ROAD
47295,ADELAIDE AVENUE / MONTAGUE AVENUE
47296,DOVER PARK DRIVE
47297,GREAT WEST ROAD
47298,FELTHAM ASSEMBLY HALL
47299,TRAPS LANE
47300,NEWLANDS PARK
47301,BATTERSEA MEDICAL CENTRE
47302,LONGMEAD ROAD
47303,FIFTH WAY
47304,THREADNEEDLE STREET
47305,NORTHROP ROAD
47306,SNOW HILL
47307,ENDLEBURY ROAD
47308,BLACKFEN ROAD / RAMILLIES ROAD
47309,REAPERS WAY
47310,HUNTLEY WAY
47311,STREATHAM HILL STATION #
47312,KINGSHILL CLOSE
47313,ORCHARDSON STREET
47314,FIFTH AVENUE
47316,EASTWAY
47317,SHELLEY AVENUE
47318,TWICKENHAM STADIUM
47319,ONDINE ROAD
47320,CASTLEDINE ROAD
47321,PARK AVENUE
47322,KENILWORTH ROAD
